,Wavenumber (cm-1),Best fit (AU),pseudo-voigt component 0 (AU),pseudo-voigt component 1 (AU),pseudo-voigt component 2 (AU),pseudo-voigt component 3 (AU)
206,2896.603,0.1990086537963467,1.7388900972383766e-13,0.005417821787775546,0.05760799258846693,0.0011253750117133463
207,2898.531,0.20097097708440176,1.797294780160293e-13,0.005724147895421068,0.05929809893818969,0.0009373269879730438
208,2900.46,0.2026885455705078,1.8587102376932974e-13,0.006056835339655306,0.060689945342464025,0.0007761670704409218
209,2902.388,0.20413653245853267,1.9232778105802632e-13,0.006418540264373193,0.06175899543486992,0.0006391083547778464
210,2904.317,0.205299051151074,1.991287498834589e-13,0.006813071993098717,0.06248835147305001,0.0005231924089009175
211,2906.245,0.20616380047943983,2.0629113940266957e-13,0.007243957734374796,0.06286486581476396,0.0004258985319088935
212,2908.1740000000004,0.20672732151454828,2.1384884422957468e-13,0.007716176842617777,0.06288248640344217,0.00034467987719884554
213,2910.1020000000003,0.2069917232037079,2.2182290014613994e-13,0.008234468179835924,0.06254089319293209,0.000277386975976132
214,2912.031,0.20696716848044192,2.302531678022325e-13,0.00880542922874229,0.061845579102693615,0.00022193137291956068
215,2913.9590000000003,0.20667074067443414,2.391654745206733e-13,0.009435505370550872,0.0608090869942011,0.0001765689212715266
216,2915.888,0.20612622916988718,2.4860700696872527e-13,0.01013356201018771,0.059447819850573,0.00013965926268330259
217,2917.816,0.20536502806007437,2.586096325676043e-13,0.010908477093769511,0.05778580970831097,0.00010984764138861988
218,2919.745,0.20442358896370422,2.692296052442198e-13,0.011772334922644598,0.05584850098544331,8.589523353650725e-05
219,2921.673,0.2033460715166519,2.805064616065335e-13,0.012737517820358726,0.05366884391382119,6.679062135512001e-05
220,2923.6020000000003,0.20218011166448027,2.9250777283909936e-13,0.013820726798910726,0.05127851341122701,5.16317279248691e-05
221,2925.53,0.20098077438611917,3.052828893615243e-13,0.015039429160805192,0.0487159969011603,3.96906769338468e-05
222,2927.458,0.19980611747085827,3.189063366412156e-13,0.016416226518774005,0.04601729975869282,3.033707540377844e-05
223,2929.387,0.19871886423044702,3.3346202639865294e-13,0.017978243716539104,0.04321845774672978,2.3052063276073294e-05
